,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai16,Dev1/ai17,Dev1/ai18,Dev1/ai19,Dev1/ai20,Dev1/ai21,Dev1/ai22,Dev1/ai23,Dev1/ai24,Dev1/ai25,Number of Group 1,Number of Group 2
0,1.9944,0.4543,-2.8663,1.7792,0.294,-2.7404,1.9236,0.3532,-2.9025,1.9216,0.1996,-2.8662,1.908,0.3957,-2.8867,1.7854,-2.8868,1.7854,118,115
1,1.9943,0.4543,-2.8662,1.7792,0.294,-2.7403,1.9236,0.3532,-2.9025,1.9216,0.1997,-2.8661,1.908,0.3958,-2.8867,1.7854,-2.8868,1.7853,124,176
